cbg,total_population,median_household_income,median_age,white_population,black_population,asian_population,hispanic_population,uni_degree,income_q,education_q,age_q
2.50277E+11,782,81250,33.6,0.589514066,0.299232737,0.012787724,0,0.563779528,Q4,Q4,Q2
2.50277E+11,952,48558,38,0.696428571,0.303571429,0,0.293067227,0.259202454,Q3,Q2,Q3
2.50277E+11,765,105536,36.8,0.832679739,0,0.053594771,0,0.413333333,Q4,Q3,Q3
2.50277E+11,1331,81908,39.4,0.552967693,0.350864012,0.063110443,0.047332832,0.369419643,Q4,Q3,Q3
2.50277E+11,2424,68652,32.7,0.834570957,0.048679868,0.080858086,0.064768977,0.357190635,Q4,Q3,Q2
2.50277E+11,1131,93203,42,0.870910698,0.098143236,0.014146773,0.083996463,0.481028152,Q4,Q4,Q3
2.50277E+11,813,39773,57.3,0.658056581,0.173431734,0.168511685,0.044280443,0.383206107,Q2,Q3,Q4
2.50277E+11,560,53309,47.7,0.825,0.039285714,0,0,0.195876289,Q3,Q2,Q4
2.50277E+11,500,146702,35,0.914,0,0,0.162,0.542613636,Q4,Q4,Q2
2.50277E+11,880,80893,50.4,0.988636364,0.011363636,0,0,0.464135021,Q4,Q4,Q4
2.50277E+11,1097,64041,43.6,0.908842297,0.091157703,0,0.014585232,0.37375,Q3,Q3,Q4
2.50277E+11,774,34702,41.1,0.662790698,0.122739018,0,0.272609819,0.23255814,Q2,Q2,Q3
2.50277E+11,1234,53688,41.3,0.782009724,0.120745543,0.042139384,0.020259319,0.372863248,Q3,Q3,Q3
2.50277E+11,1278,76250,43.8,0.931924883,0.01486698,0.005477308,0.064162754,0.398148148,Q4,Q3,Q4
2.50277E+11,893,60714,29.9,0.647256439,0.318029115,0,0.227323628,0.473779385,Q3,Q4,Q1
2.50277E+11,782,58958,46,0.89258312,0.039641944,0.061381074,0.18286445,0.396853147,Q3,Q3,Q4
2.50277E+11,900,62232,34.1,0.825555556,0.174444444,0,0.045555556,0.449206349,Q3,Q4,Q2
2.50277E+11,1200,65083,47.1,0.915833333,0.023333333,0.0325,0.043333333,0.38997555,Q4,Q3,Q4
2.50277E+11,2027,25208,34.7,0.603848051,0.264923532,0.034040454,0.433645782,0.200754717,Q1,Q2,Q2
2.50277E+11,1163,14780,50.5,0.746345658,0.180567498,0.008598452,0.313843508,0.109770808,Q1,Q1,Q4
2.50277E+11,975,64375,36.2,0.647179487,0.049230769,0.192820513,0.218461538,0.330733229,Q3,Q3,Q3
2.50277E+11,753,40188,31.8,0.640106242,0.316069057,0.013280212,0.284196547,0.177290837,Q2,Q2,Q2
2.50277E+11,418,48750,33.9,0.849282297,0.124401914,0.026315789,0,0.276527331,Q3,Q3,Q2
2.50277E+11,1182,43472,27,0.539763113,0.34179357,0.046531303,0.347715736,0.266572638,Q2,Q3,Q1
2.50277E+11,1830,45758,32.8,0.808743169,0.08852459,0.087431694,0.030054645,0.355731225,Q2,Q3,Q2
2.50277E+11,3704,89659,40.7,0.773488121,0.13687905,0.087203024,0.042656587,0.446561723,Q4,Q4,Q3
2.50277E+11,914,NA,44.3,0.910284464,0,0.089715536,0.032822757,0.62,NA,Q4,Q4
2.50277E+11,802,102778,51,0.970074813,0.026184539,0,0.018703242,0.87414966,Q4,Q4,Q4
2.50277E+11,2951,64615,21.1,0.836326669,0.071501186,0.056929854,0.064046086,0.473796791,Q3,Q4,Q1
2.50277E+11,1080,30306,50.8,0.84537037,0.072222222,0.036111111,0.122222222,0.477508651,Q1,Q4,Q4
2.50277E+11,1472,98306,56.6,0.872282609,0.057065217,0,0.069972826,0.523580366,Q4,Q4,Q4
2.50277E+11,561,64236,60,0.905525847,0,0.094474153,0.021390374,0.506641366,Q3,Q4,Q4
2.50277E+11,1141,100391,38.8,0.703768624,0.296231376,0,0.287467134,0.463414634,Q4,Q4,Q3
